,Green,Yellow,Combined_Score
canon,1431,2331,3762
verdi,857,3216,4073
linus,883,3206,4089
gouda,1034,2776,3810
habib,964,2251,3215
ulcer,926,3679,4605
broil,1343,2867,4210
spasm,1175,1969,3144
naomi,971,3521,4492
ethel,809,2894,3703
blush,1110,2179,3289
squaw,941,2190,3131
farce,1702,3041,4743
aloft,1116,3216,4332
midge,1235,2413,3648
boron,1401,1821,3222
amber,907,3818,4725
miles,1183,3360,4543
tacky,1286,2446,3732
smile,1581,2962,4543
flank,1171,2456,3627
crash,1377,3095,4472
janet,1419,3131,4550
jolla,1023,2265,3288
among,834,3144,3978
theta,986,3213,4199
hodge,1294,2471,3765
model,1263,2927,4190
adobe,1151,3493,4644
clash,1311,2988,4299
tribe,1446,3213,4659
shout,1324,2474,3798
night,767,2723,3490
forgo,1041,1602,2643
ravel,1241,3729,4970
norse,1520,3606,5126
droll,1172,2221,3393
lumen,1123,3051,4174
elmer,1020,2811,3831
kapok,944,2111,3055
zesty,1148,2658,3806
ernie,1486,2727,4213
point,1448,2509,3957
haifa,1156,1902,3058
trash,1291,3427,4718
basal,1334,2228,3562
magic,1077,2666,3743
enter,928,3241,4169
hurst,1157,2768,3925
prism,1118,2608,3726
exist,948,3185,4133
groin,1291,2829,4120
posit,1265,2755,4020
swiss,1173,834,2007
flood,1021,1544,2565
revel,1121,2457,3578
evict,943,3051,3994
fruit,1229,2446,3675
wiley,1404,2628,4032
etude,1086,2286,3372
reese,1496,1875,3371
alloy,1331,2478,3809
claim,1247,3001,4248
vicky,941,1630,2571
worst,1283,2691,3974
zeiss,1054,2217,3271
easel,1299,3291,4590
scarf,1153,3040,4193
bowel,1271,2617,3888
logan,1161,3273,4434
terra,1248,3500,4748
gregg,859,2027,2886
clint,1383,2707,4090
arise,1646,4022,5668
bench,1226,2546,3772
telex,1161,2087,3248
squat,1212,2554,3766
trend,1107,3548,4655
wrote,1501,3023,4524
penal,1249,3714,4963
bleed,1256,1950,3206
sloan,1528,3391,4919
trans,1293,3718,5011
leila,1200,3419,4619
flair,1240,3263,4503
comic,1063,1839,2902
shape,1658,2992,4650
grout,1178,2684,3862
nitty,1143,2015,3158
plaid,1231,2884,4115
lenin,1237,2803,4040
yeast,1278,3856,5134
small,1282,2322,3604
lurid,1058,2897,3955
lucid,857,2644,3501
photo,981,1778,2759
paean,1451,2616,4067
scion,1276,2875,4151
smote,1568,2977,4545
loamy,1464,2785,4249
kajar,997,1807,2804
scene,1549,2181,3730
peggy,1225,1607,2832
cable,1614,3113,4727
braun,1353,2918,4271
reave,1498,2576,4074
anent,1083,3409,4492
hover,1131,3013,4144
forth,1214,2419,3633
carib,1319,3060,4379
blend,1117,2902,4019
kodak,954,2151,3105
wrack,1155,2432,3587
spiro,1164,3064,4228
agate,1402,2668,4070
caste,1656,3514,5170
rotor,1043,1829,2872
butyl,902,2431,3333
topaz,930,2765,3695
liana,1222,2784,4006
stain,1456,3391,4847
dream,1050,3763,4813
visit,997,1832,2829
mario,1319,3429,4748
inert,904,4170,5074
jorge,1407,2479,3886
lilly,1254,1126,2380
spitz,1049,2093,3142
floor,1081,2067,3148
sarah,1666,2191,3857
stair,1375,3728,5103
fanny,1539,1486,3025
eucre,1257,2452,3709
kraft,1121,2727,3848
ovary,1134,3035,4169
abbas,738,1928,2666
niobe,1235,3249,4484
annal,994,2107,3101
alibi,882,2709,3591
saxon,1417,2671,4088
ocean,863,4325,5188
nobel,1121,3354,4475
stahl,1185,3360,4545
geode,1490,1755,3245
posey,1541,2718,4259
coupe,1510,2508,4018
stick,1199,2343,3542
havoc,912,2744,3656
welsh,1061,2883,3944
agone,1337,3627,4964
perry,1530,1980,3510
fargo,1133,2902,4035
drain,1395,3270,4665
starr,1343,2855,4198
carla,1419,2553,3972
tangy,1440,2596,4036
ripen,1085,3564,4649
louis,1144,3074,4218
overt,822,3663,4485
hesse,1381,1441,2822
roast,1397,3743,5140
quilt,1092,2207,3299
proto,1132,2176,3308
costa,1172,3514,4686
given,1125,2597,3722
noble,1307,3168,4475
auxin,1015,2759,3774
spore,1606,3143,4749
trite,1611,2650,4261
cause,1744,3164,4908
douse,1538,2791,4329
sepia,1329,3706,5035
quell,920,2039,2959
bloop,1083,1589,2672
dwarf,859,2555,3414
andre,1221,3965,5186
filmy,1162,1899,3061
polio,1167,2012,3179
maine,1802,3174,4976
essay,976,3297,4273
slump,1068,2179,3247
macho,904,3005,3909
brest,1326,3304,4630
grady,1422,2495,3917
hasty,1373,2855,4228
miser,1124,3592,4716
plead,1082,3554,4636
plumb,766,2003,2769
monty,1444,2191,3635
canoe,1746,3442,5188
spurn,1199,2594,3793
swine,1629,2617,4246
maier,1545,3687,5232
asher,825,4458,5283
unify,943,2194,3137
druid,1063,1996,3059
diane,1634,3388,5022
lorry,1495,1991,3486
crust,1300,2720,4020
criss,1275,2190,3465
flask,1140,2550,3690
borax,1232,2634,3866
couch,1253,1423,2676
lolly,1380,1037,2417
ellis,987,3116,4103
cedar,1189,3799,4988
demur,907,3113,4020
fraud,1100,2687,3787
flame,1465,2930,4395
whelm,770,2738,3508
sauna,1561,2119,3680
cater,1478,3885,5363
sushi,914,1986,2900
seoul,1427,3312,4739
wrist,1248,2689,3937
debra,1023,3748,4771
crest,1336,3511,4847
tiber,1100,3559,4659
swell,1128,2296,3424
shore,1720,3113,4833
mafia,1143,1835,2978
climb,955,2299,3254
bryce,1413,2674,4087
nudge,1099,2616,3715
ayers,886,4456,5342
grape,1512,3202,4714
speck,1083,2555,3638
julep,957,2458,3415
diety,1320,2937,4257
susan,1349,2331,3680
allis,1091,2978,4069
scorn,1278,3037,4315
affix,538,2065,2603
laugh,1110,2688,3798
keyes,999,2167,3166
milch,1039,2337,3376
amuse,1247,3486,4733
token,1241,3086,4327
spell,1143,2491,3634
teeth,1175,1632,2807
mousy,1436,2000,3436
kirov,813,2575,3388
menlo,1060,3457,4517
yeats,1132,4002,5134
chile,1533,2829,4362
weary,1539,3153,4692
smell,1127,2511,3638
meant,1473,3459,4932
snarl,1368,3678,5046
libra,905,3755,4660
rubin,972,2812,3784
molal,1249,2421,3670
versa,1102,3848,4950
spade,1579,3037,4616
stunt,1278,1871,3149
baggy,1406,1354,2760
scout,1197,2696,3893
uncle,972,3377,4349
pecos,1001,3294,4295
ceres,1452,2534,3986
drape,1517,3292,4809
munch,1035,1952,2987
objet,749,2936,3685
lotus,958,3216,4174
derek,1318,1948,3266
trawl,1132,3312,4444
plate,1633,3378,5011
bater,1468,3678,5146
india,694,2902,3596
tampa,1012,2117,3129
cigar,1088,3284,4372
swelt,1218,3067,4285
grime,1461,2770,4231
mobil,1126,2455,3581
shuck,1161,1734,2895
layup,853,3049,3902
unary,1191,3261,4452
mayer,1271,3635,4906
gules,1143,3045,4188
xerox,881,2621,3502
brood,1199,1696,2895
brent,1357,3210,4567
noose,1529,2528,4057
fussy,1182,1113,2295
rogue,1294,3133,4427
veldt,1025,2831,3856
colza,1079,2830,3909
inapt,898,3509,4407
worry,1459,1357,2816
repel,1126,2701,3827
water,1308,3666,4974
bliss,1199,1876,3075
knock,782,1873,2655
divan,1017,2766,3783
garry,1602,1829,3431
slush,1298,1593,2891
march,1337,2699,4036
shade,1693,3007,4700
filch,1008,2169,3177
loath,1310,3301,4611
mimic,846,1114,1960
sibyl,1028,2626,3654
fount,1279,2177,3456
whale,1436,3024,4460
seton,1438,3480,4918
chief,1180,2527,3707
morse,1644,3109,4753
jesse,1315,1045,2360
nepal,962,4001,4963
rifle,1177,3360,4537
adage,1314,2381,3695
phony,1358,1932,3290
smelt,1217,3282,4499
samoa,1409,2241,3650
canal,1440,2276,3716
trade,1580,3654,5234
iliac,942,2866,3808
elbow,682,3206,3888
engel,893,2633,3526
debug,765,2535,3300
genie,1567,1968,3535
banal,1430,2069,3499
breve,1455,1625,3080
trait,1456,2771,4227
raman,1210,2504,3714
keith,1129,2868,3997
melee,1706,1056,2762
glide,1408,2696,4104
louse,1518,3221,4739
bloat,1373,3116,4489
ghana,1142,1974,3116
emery,1073,2441,3514
chaff,927,1841,2768
locus,880,3048,3928
radio,1067,3727,4794
local,1085,2760,3845
baden,1493,3022,4515
bathe,1531,3066,4597
surge,1671,2690,4361
rabbi,768,2996,3764
simon,1268,2708,3976
verse,1494,2064,3558
hedge,1266,1557,2823
cacao,1215,1734,2949
seven,1520,1782,3302
belch,1218,2637,3855
moral,1329,3410,4739
barge,1713,2963,4676
breed,1322,2057,3379
sprig,1093,2584,3677
bragg,1123,2127,3250
argus,909,3418,4327
owlet,974,3377,4351
horde,1470,2973,4443
floyd,840,2304,3144
sully,1554,1396,2950
pewee,1554,534,2088
hanna,1236,1489,2725
spoil,1266,2789,4055
knott,945,1956,2901
lasso,1057,3049,4106
willa,951,2468,3419
satyr,1296,3481,4777
hooch,1187,890,2077
manna,1303,1342,2645
drake,1530,3128,4658
pluck,997,1834,2831
riggs,734,2507,3241
corps,1168,2770,3938
tamil,1225,3269,4494
percy,1508,2617,4125
snowy,1314,2122,3436
igloo,573,2561,3134
scope,1432,2863,4295
talon,1337,3567,4904
swart,1408,3016,4424
surly,1634,2385,4019
shale,1784,3326,5110
samba,1250,1856,3106
bassi,1119,2452,3571
ising,679,2306,2985
vogue,1245,2300,3545
risky,1023,2691,3714
graft,1216,2738,3954
crane,1804,3511,5315
zomba,717,2519,3236
union,900,2359,3259
mould,1089,2274,3363
acorn,1046,3785,4831
lilac,924,2884,3808
delhi,820,3413,4233
arose,1620,4085,5705
glaze,1404,2765,4169
slick,1364,2213,3577
rummy,993,1694,2687
gummy,1038,971,2009
decal,1077,3738,4815
brand,1338,2820,4158
polar,1245,3490,4735
bossy,1432,1363,2795
gamma,1001,1222,2223
amort,1076,3628,4704
niece,1344,2415,3759
claus,1187,3191,4378
staff,1025,2345,3370
spire,1632,3080,4712
perez,1245,1750,2995
drone,1591,3145,4736
swear,1177,3812,4989
plump,819,1552,2371
ozark,804,2948,3752
which,980,1286,2266
guilt,1215,2437,3652
kombu,594,2070,2664
mange,1560,2902,4462
wordy,1333,1969,3302
canto,1284,3339,4623
cosec,1209,2650,3859
leery,1420,2550,3970
miami,976,1761,2737
share,1819,3464,5283
akers,842,4206,5048
rough,988,2533,3521
flush,998,2134,3132
toxin,1121,2465,3586
canny,1661,1738,3399
waltz,1013,2426,3439
torus,1129,3218,4347
velar,1075,3895,4970
truce,1493,3077,4570
hazel,1206,3092,4298
storm,1129,3059,4188
hausa,1194,2193,3387
purge,1422,2499,3921
adore,1338,3977,5315
clark,1281,2976,4257
lousy,1393,2499,3892
curry,1491,1371,2862
imbue,871,2897,3768
sturm,1037,2808,3845
swipe,1456,2413,3869
agnew,842,3406,4248
event,895,2392,3287
queer,1082,2050,3132
hymen,895,2883,3778
covet,1403,2628,4031
moist,1397,2627,4024
clean,1294,3848,5142
stand,1295,3133,4428
basil,1328,3139,4467
taint,1525,2446,3971
squid,1032,1872,2904
space,1683,3062,4745
stale,1704,3747,5451
movie,1475,2425,3900
pagan,1316,1716,3032
posse,1496,2184,3680
jerky,1229,2188,3417
kitty,1144,1486,2630
media,1096,3553,4649
extra,699,4114,4813
kelly,1272,1914,3186
vivid,771,807,1578
larry,1587,2349,3936
corey,1780,2851,4631
barth,1418,2822,4240
dance,1638,3094,4732
ionic,965,2310,3275
whisk,934,1878,2812
crave,1620,3069,4689
siren,1642,3447,5089
sybil,1053,2601,3654
franz,1121,2458,3579
edify,960,2677,3637
graph,1116,2692,3808
sharp,1313,2980,4293
wolff,790,1515,2305
elect,1109,2689,3798
vaduz,779,1949,2728
crime,1580,2875,4455
waken,1249,2893,4142
cluck,1068,1327,2395
cheer,1241,2389,3630
morel,1442,3331,4773
macro,1086,3372,4458
penna,1203,2864,4067
idiot,887,2307,3194
snook,1168,1748,2916
while,1363,2610,3973
scoot,1283,2011,3294
dinah,1084,3032,4116
blurb,966,1996,2962
fiche,1123,2584,3707
mouth,1162,2200,3362
coast,1561,3125,4686
relic,986,3925,4911
wedge,1254,1275,2529
emory,1129,3327,4456
hotel,1252,3393,4645
until,745,3329,4074
flesh,1034,2925,3959
estop,574,3967,4541
moser,1250,3503,4753
sault,1624,3000,4624
total,1211,2880,4091
faery,1552,3155,4707
klein,1074,3251,4325
frick,1130,1985,3115
glenn,1149,2377,3526
lithe,1189,3419,4608
mossy,1351,1486,2837
organ,1006,3601,4607
sabra,1435,2300,3735
medea,1215,2529,3744
strut,1235,2170,3405
tenet,1437,1663,3100
perky,1382,2413,3795
booze,1550,1280,2830
speak,1143,3272,4415
batch,1295,2491,3786
myron,978,2865,3843
funny,1309,923,2232
stead,1166,3875,5041
shoal,1386,3240,4626
negro,861,3780,4641
mauve,1500,2544,4044
bunch,1116,1829,2945
angry,1093,3151,4244
prune,1542,2801,4343
ideal,781,4324,5105
betty,1446,1818,3264
shift,1289,2114,3403
befit,1214,2617,3831
jiffy,852,931,1783
circe,1606,2409,4015
wound,1057,2009,3066
hiram,997,3329,4326
fight,860,2058,2918
novak,912,2707,3619
spill,1225,1888,3113
spume,1375,2402,3777
typic,615,2781,3396
assay,1080,1767,2847
puffy,993,862,1855
nifty,1014,2385,3399
seder,1480,2377,3857
errol,1126,3207,4333
merge,1512,1814,3326
halma,1077,2171,3248
snort,1359,3202,4561
epoxy,921,2527,3448
foamy,1476,2118,3594
olden,1056,3507,4563
amass,1013,1695,2708
whose,1353,2637,3990
slash,1489,2195,3684
quern,1012,2933,3945
stuff,834,1743,2577
avian,1074,2223,3297
nadir,1088,3577,4665
mooch,1254,1263,2517
parse,1756,3443,5199
delve,1360,1635,2995
kiosk,959,2049,3008
fiery,1334,2886,4220
dizzy,925,1109,2034
quite,1387,2442,3829
micro,868,3103,3971
greer,1273,1613,2886
dewar,1002,3597,4599
ouzel,915,3012,3927
akron,971,3530,4501
thank,1122,2749,3871
ditch,973,2414,3387
chore,1542,3030,4572
aback,963,1727,2690
width,861,2137,2998
styli,827,3290,4117
curse,1597,2988,4585
renal,1156,4440,5596
guide,1406,2401,3807
whine,1410,2480,3890
sofia,1320,3036,4356
brady,1531,2393,3924
belle,1601,1119,2720
rouge,1384,3043,4427
today,1402,2858,4260
aphid,676,3063,3739
wheat,1072,3353,4425
oscar,611,4283,4894
freud,945,2876,3821
wendy,1233,2297,3530
franc,1154,2976,4130
finch,1016,2078,3094
omega,622,3969,4591
craze,1589,2977,4566
alvin,1061,3132,4193
synod,1034,2662,3696
equal,786,3565,4351
sandy,1701,2445,4146
erect,1175,2796,3971
scuff,787,1544,2331
shell,1257,2461,3718
chive,1396,2257,3653
chump,805,1805,2610
woven,1200,2394,3594
bayda,1079,1776,2855
pitch,1016,2321,3337
skill,1174,1788,2962
primp,1003,1847,2850
lefty,1193,2810,4003
booky,1480,724,2204
injun,527,1848,2375
smear,1176,4027,5203
ernst,1153,3892,5045
dread,1105,3268,4373
chard,1185,2897,4082
denny,1427,1877,3304
tiger,1115,3537,4652
hurty,1311,2317,3628
kevin,1009,2607,3616
magma,1042,1181,2223
tahoe,1467,3674,5141
erich,1143,3392,4535
grasp,1148,3016,4164
groat,1330,3325,4655
eagan,1229,2793,4022
gloom,969,1700,2669
tight,896,1781,2677
sober,1490,3221,4711
grope,1413,2851,4264
pygmy,895,951,1846
cubit,1169,2209,3378
login,1155,2792,3947
sound,1405,2311,3716
stuck,1081,2155,3236
scoop,1059,1810,2869
gusto,839,2830,3669
banjo,1072,2531,3603
annoy,1175,2551,3726
basic,1172,3014,4186
faith,1341,2578,3919
porch,1265,2317,3582
taunt,1407,2258,3665
libel,1076,2549,3625
panic,1207,2954,4161
serif,1397,3120,4517
spilt,1315,2659,3974
perle,1620,2207,3827
stock,1173,2406,3579
yodel,1099,3230,4329
daddy,1302,1155,2457
fluid,989,2138,3127
quick,942,1500,2442
eldon,938,3625,4563
beefy,1369,1275,2644
enoch,887,3429,4316
heigh,1084,2158,3242
vowel,1068,2609,3677
apart,1191,2567,3758
anton,934,3074,4008
solve,1680,2647,4327
evoke,1073,1767,2840
epoch,852,3087,3939
limit,1049,2053,3102
furze,1291,2108,3399
thule,1329,2973,4302
aloha,999,2751,3750
sneak,1178,3614,4792
prior,1224,2128,3352
haven,1304,3034,4338
gibby,1000,1273,2273
shire,1746,3050,4796
fence,1510,1585,3095
chant,1371,2830,4201
messy,1323,1998,3321
oasis,1066,3049,4115
butch,1065,1928,2993
quota,969,2863,3832
tepee,1576,1147,2723
naacp,1211,2045,3256
argue,1334,3543,4877
shoot,1410,1789,3199
brock,1216,2093,3309
xhosa,864,2931,3795
ralph,1045,3268,4313
krebs,811,3243,4054
derby,1300,2658,3958
withe,1153,2785,3938
wacky,1202,1895,3097
offer,646,3032,3678
third,1026,2815,3841
swede,1409,1605,3014
egret,1081,2666,3747
pence,1561,1729,3290
thyme,1069,2757,3826
pobox,908,933,1841
taste,1570,2985,4555
kazoo,875,1808,2683
allyl,903,1964,2867
strop,1097,3087,4184
serum,1279,3131,4410
gates,1330,3616,4946
lapel,1276,2874,4150
russo,797,2689,3486
group,954,2483,3437
royal,1017,3861,4878
balsa,1345,2217,3562
black,1249,2337,3586
swing,1093,2118,3211
tunis,1065,2989,4054
peepy,1322,1119,2441
stoic,1144,3055,4199
leroy,1439,3473,4912
utica,828,3544,4372
wafer,1179,3175,4354
dross,1135,2238,3373
jaime,1518,2703,4221
throw,866,2752,3618
witch,917,2210,3127
stump,903,2309,3212
south,1431,2367,3798
foray,1545,2678,4223
agile,1316,3694,5010
larch,1294,3198,4492
brick,1242,2030,3272
whack,1004,2034,3038
trudy,1264,2330,3594
elfin,925,3356,4281
heady,1425,2978,4403
idyll,516,2350,2866
angel,997,3921,4918
rheum,697,3357,4054
sixth,1124,2103,3227
fling,1007,2239,3246
slurp,1207,2669,3876
grand,1229,2922,4151
learn,1385,4211,5596
duffy,950,955,1905
shiva,1182,2698,3880
mason,1244,3219,4463
shock,1253,1985,3238
heron,1225,3545,4770
motor,1116,2196,3312
drunk,1054,2198,3252
steed,1279,2370,3649
shack,1352,2336,3688
stamp,1094,2911,4005
nurse,1382,3401,4783
spoon,1263,1804,3067
goode,1518,1727,3245
woman,1112,2701,3813
exert,885,2536,3421
wotan,1184,3050,4234
virgo,824,2670,3494
grind,1156,2508,3664
bugle,1389,2321,3710
medic,960,2912,3872
ether,785,3091,3876
infix,463,1561,2024
irene,1428,2785,4213
pivot,1027,2304,3331
lunar,1052,3717,4769
spark,1260,2798,4058
skeet,1368,2080,3448
romeo,1078,2799,3877
swift,1160,1949,3109
buggy,1176,791,1967
rowdy,1087,2215,3302
phone,1483,2654,4137
sammy,1565,1722,3287
scant,1422,3135,4557
syrup,970,2589,3559
elton,994,3944,4938
chock,1075,1287,2362
fetal,1147,3669,4816
rosen,1258,3868,5126
elgin,995,3436,4431
briny,1596,2168,3764
punky,1200,1512,2712
avoid,901,3011,3912
pique,1162,2242,3404
gross,1130,2148,3278
lumpy,1001,1949,2950
under,784,3609,4393
hippo,626,2177,2803
jones,1184,2931,4115
bundy,1283,1592,2875
petri,1002,3695,4697
panty,1556,2525,4081
sidle,1592,2997,4589
amigo,793,3277,4070
chose,1523,2856,4379
hound,1069,2291,3360
marcy,1608,2487,4095
stool,1240,2335,3575
shark,1374,2768,4142
cynic,844,2068,2912
shrew,1309,2808,4117
snare,1740,3836,5576
shaky,1546,2106,3652
chafe,1466,2728,4194
still,1259,2279,3538
stern,1269,3776,5045
shame,1680,2974,4654
brake,1634,2936,4570
fable,1492,2861,4353
motif,1033,2356,3389
waste,1486,3295,4781
katie,1541,3328,4869
tithe,1237,2475,3712
gemma,881,2768,3649
huber,1016,2996,4012
minot,1155,2806,3961
flynn,954,1575,2529
stray,1544,3233,4777
elegy,1165,2127,3292
gloat,1264,3218,4482
twill,946,1942,2888
odium,574,2798,3372
aruba,968,2490,3458
abyss,639,2606,3245
riley,1410,3465,4875
erase,1615,3148,4763
gluey,1442,2449,3891
inter,865,4209,5074
jumpy,911,1201,2112
might,891,2226,3117
tulsa,1039,3585,4624
widow,698,1861,2559
swank,1257,2335,3592
zloty,1217,2125,3342
felix,1006,2527,3533
theft,943,2105,3048
pluto,974,2760,3734
binge,1423,2510,3933
angus,679,3392,4071
islet,957,4007,4964
fahey,1485,2673,4158
luzon,878,2436,3314
crush,1186,2493,3679
parsi,1226,3452,4678
antic,781,3805,4586
usurp,554,2426,2980
babel,1418,2694,4112
vouch,1040,1823,2863
moire,1698,3084,4782
flare,1604,3420,5024
vigil,893,1486,2379
purse,1526,2880,4406
amend,858,3699,4557
stare,1739,3885,5624
balky,1483,2067,3550
olsen,1067,3886,4953
cocky,1280,1141,2421
slack,1437,2627,4064
input,622,2992,3614
patch,1234,2590,3824
quack,1015,1914,2929
biggs,888,1682,2570
silky,1453,2088,3541
quiet,1278,2551,3829
coyly,1355,1677,3032
flour,995,2752,3747
jacob,834,2571,3405
chord,1086,2546,3632
filth,1008,2415,3423
grail,1333,3320,4653
zebra,874,3475,4349
attic,780,2993,3773
polka,1063,2888,3951
deane,1732,2385,4117
mangy,1435,2180,3615
wrong,999,2442,3441
rumen,1093,3254,4347
twain,1143,3054,4197
micky,1063,1761,2824
acute,1247,3646,4893
dater,1364,3870,5234
range,1487,3604,5091
shook,1247,1376,2623
spook,1133,1406,2539
nolan,1182,2861,4043
celia,1286,3948,5234
farad,1306,1882,3188
dante,1638,3340,4978
haunt,1335,2850,4185
false,1625,3206,4831
frill,1190,1921,3111
peace,1741,2128,3869
calve,1594,2922,4516
coven,1370,2613,3983
haydn,1008,2782,3790
shirt,1464,2767,4231
drank,1245,2800,4045
dusty,1187,2214,3401
strap,1163,3471,4634
finny,1321,1217,2538
break,1220,3350,4570
shunt,1358,2311,3669
glory,1383,2494,3877
belie,1668,1957,3625
rutty,1182,1926,3108
straw,1116,3308,4424
minus,926,2707,3633
upset,874,3324,4198
smoky,1317,1805,3122
video,919,3027,3946
delft,1075,2835,3910
dumpy,1021,1519,2540
andes,947,4046,4993
pasty,1460,2684,4144
utter,839,3116,3955
calla,1339,1564,2903
thine,1494,3031,4525
joyce,1269,2351,3620
hoagy,1456,2368,3824
myers,849,3541,4390
malta,1261,2328,3589
rusty,1137,2847,3984
siege,1636,1962,3598
buzzy,1017,623,1640
culpa,983,2955,3938
moyer,1179,3277,4456
cavil,1286,2709,3995
later,1344,4300,5644
below,1055,2833,3888
caret,1715,3648,5363
curve,1444,2452,3896
leigh,1108,3030,4138
rhine,1416,3317,4733
gleam,979,3566,4545
crete,1615,2356,3971
alton,1098,3806,4904
lycee,1228,2288,3516
lydia,739,3519,4258
arrow,1049,2580,3629
deneb,1132,1991,3123
spurt,1232,2609,3841
leone,1613,2464,4077
bulky,1253,1504,2757
chain,1358,2887,4245
virus,876,2760,3636
olive,1262,3094,4356
manse,1664,3283,4947
bicep,1062,2718,3780
alden,1221,3792,5013
evade,1194,2297,3491
kappa,864,1249,2113
wyeth,777,2835,3612
hamal,1159,2089,3248
bylaw,807,2684,3491
gunny,1312,1070,2382
pater,1407,3777,5184
fatal,1267,2123,3390
admit,884,3200,4084
lurch,1064,2635,3699
runic,884,3117,4001
kulak,915,2257,3172
naiad,1248,2348,3596
cecil,1185,2657,3842
hydro,607,2989,3596
pizza,701,2096,2797
wispy,1004,2018,3022
groan,1297,3310,4607
dense,1521,2080,3601
ogden,808,3250,4058
bongo,1081,1463,2544
tinny,1357,1801,3158
kiowa,829,2921,3750
avery,1144,3509,4653
raise,1698,3970,5668
salad,1526,2124,3650
burst,1305,2498,3803
naive,1494,3229,4723
trust,1214,2191,3405
aiken,1147,3674,4821
patio,1216,3320,4536
grief,1212,2820,4032
roomy,1335,1695,3030
saucy,1794,2267,4061
incur,522,3479,4001
jolly,1290,1185,2475
aloud,1003,3312,4315
kraut,1182,3024,4206
budge,1304,1996,3300
busch,1020,1988,3008
tenon,1225,2817,4042
waive,1539,2597,4136
grimy,1336,2048,3384
picky,1083,1737,2820
fatty,1454,1619,3073
biddy,1188,1180,2368
board,1396,2891,4287
avail,1084,2296,3380
dacca,1117,1376,2493
crazy,1464,2255,3719
digit,1082,1561,2643
apple,1115,3035,4150
deign,1209,2812,4021
boggy,1314,996,2310
eaton,1222,4212,5434
tread,1133,4101,5234
stake,1591,3249,4840
frond,1127,2424,3551
moody,1421,1026,2447
spiky,1359,1722,3081
saran,1747,2403,4150
slosh,1390,1844,3234
envoy,923,3024,3947
alice,1577,3657,5234
voice,1554,2521,4075
brian,1432,3145,4577
lever,1127,2451,3578
agree,1467,2811,4278
reign,1159,3445,4604
gaunt,1374,2682,4056
light,848,2725,3573
knife,1100,2570,3670
taken,1333,3444,4777
prime,1509,2767,4276
sedge,1602,1577,3179
foggy,1202,951,2153
vital,958,3283,4241
swill,1210,1693,2903
craft,1335,2843,4178
heinz,1054,2674,3728
brave,1610,2862,4472
slung,1189,2386,3575
paoli,1219,3352,4571
infra,589,3831,4420
alias,1212,2857,4069
plasm,1125,2915,4040
angst,917,3416,4333
first,1205,2747,3952
house,1494,2869,4363
carne,1858,3457,5315
amoco,868,2521,3389
patty,1505,1763,3268
jesus,795,2164,2959
rhoda,860,3549,4409
scent,1267,3324,4591
bruno,1135,2686,3821
cathy,1416,2551,3967
simla,1184,3325,4509
rabat,1241,2479,3720
piggy,1127,1184,2311
sisal,1304,2765,4069
clear,1213,4185,5398
wormy,1320,1936,3256
macaw,1039,1634,2673
bitch,1077,2222,3299
cramp,1147,2805,3952
tying,837,2712,3549
stole,1605,3396,5001
shyly,1312,1559,2871
psalm,880,3160,4040
levis,979,3311,4290
scold,1102,2713,3815
holst,1215,2880,4095
focus,892,2381,3273
hindi,742,1982,2724
noise,1555,3407,4962
ounce,1303,3092,4395
beady,1573,2708,4281
windy,1135,1874,3009
